anchor_id,dataset,difficulty,contrast_role
IndustryOR_1,IndustryOR,N/A,
IndustryOR_2,IndustryOR,N/A,
IndustryOR_3,IndustryOR,N/A,
IndustryOR_4,IndustryOR,N/A,
IndustryOR_5,IndustryOR,N/A,
IndustryOR_6,IndustryOR,N/A,
IndustryOR_7,IndustryOR,N/A,
IndustryOR_8,IndustryOR,N/A,
IndustryOR_9,IndustryOR,N/A,
IndustryOR_10,IndustryOR,N/A,
IndustryOR_11,IndustryOR,N/A,
IndustryOR_12,IndustryOR,N/A,
IndustryOR_13,IndustryOR,N/A,
IndustryOR_14,IndustryOR,N/A,
IndustryOR_15,IndustryOR,N/A,
IndustryOR_16,IndustryOR,N/A,
IndustryOR_17,IndustryOR,N/A,
IndustryOR_18,IndustryOR,N/A,
IndustryOR_19,IndustryOR,N/A,
IndustryOR_20,IndustryOR,N/A,
IndustryOR_21,IndustryOR,N/A,
IndustryOR_22,IndustryOR,N/A,
IndustryOR_23,IndustryOR,N/A,
IndustryOR_24,IndustryOR,N/A,
IndustryOR_25,IndustryOR,N/A,
IndustryOR_Hard_026_shift_scheduling,IndustryOR,Hard,simple surface structure (cyclic coverage)
IndustryOR_27,IndustryOR,N/A,
IndustryOR_28,IndustryOR,N/A,
IndustryOR_29,IndustryOR,N/A,
IndustryOR_30,IndustryOR,N/A,
IndustryOR_31,IndustryOR,N/A,
IndustryOR_32,IndustryOR,N/A,
IndustryOR_33,IndustryOR,N/A,
IndustryOR_34,IndustryOR,N/A,
IndustryOR_35,IndustryOR,N/A,
IndustryOR_Hard_036_vrp,IndustryOR,Hard,multi-entity / high coupling
IndustryOR_37,IndustryOR,N/A,
IndustryOR_38,IndustryOR,N/A,
IndustryOR_39,IndustryOR,N/A,
IndustryOR_40,IndustryOR,N/A,
IndustryOR_41,IndustryOR,N/A,
IndustryOR_42,IndustryOR,N/A,
IndustryOR_43,IndustryOR,N/A,
IndustryOR_44,IndustryOR,N/A,
IndustryOR_45,IndustryOR,N/A,
IndustryOR_46,IndustryOR,N/A,
IndustryOR_47,IndustryOR,N/A,
IndustryOR_48,IndustryOR,N/A,
IndustryOR_49,IndustryOR,N/A,
IndustryOR_50,IndustryOR,N/A,
IndustryOR_51,IndustryOR,N/A,
IndustryOR_52,IndustryOR,N/A,
IndustryOR_53,IndustryOR,N/A,
IndustryOR_54,IndustryOR,N/A,
IndustryOR_55,IndustryOR,N/A,
IndustryOR_56,IndustryOR,N/A,
IndustryOR_57,IndustryOR,N/A,
IndustryOR_58,IndustryOR,N/A,
IndustryOR_59,IndustryOR,N/A,
IndustryOR_60,IndustryOR,N/A,
IndustryOR_61,IndustryOR,N/A,
IndustryOR_62,IndustryOR,N/A,
IndustryOR_63,IndustryOR,N/A,
IndustryOR_64,IndustryOR,N/A,
IndustryOR_65,IndustryOR,N/A,
IndustryOR_66,IndustryOR,N/A,
IndustryOR_67,IndustryOR,N/A,
IndustryOR_68,IndustryOR,N/A,
IndustryOR_69,IndustryOR,N/A,
IndustryOR_70,IndustryOR,N/A,
IndustryOR_71,IndustryOR,N/A,
IndustryOR_72,IndustryOR,N/A,
IndustryOR_73,IndustryOR,N/A,
IndustryOR_74,IndustryOR,N/A,
IndustryOR_75,IndustryOR,N/A,
IndustryOR_76,IndustryOR,N/A,
IndustryOR_Easy_077_machine_assignment,IndustryOR,Easy,multi-rule / multi-entity
IndustryOR_78,IndustryOR,N/A,
IndustryOR_79,IndustryOR,N/A,
IndustryOR_80,IndustryOR,N/A,
IndustryOR_81,IndustryOR,N/A,
IndustryOR_82,IndustryOR,N/A,
IndustryOR_83,IndustryOR,N/A,
IndustryOR_84,IndustryOR,N/A,
IndustryOR_85,IndustryOR,N/A,
IndustryOR_86,IndustryOR,N/A,
IndustryOR_87,IndustryOR,N/A,
IndustryOR_88,IndustryOR,N/A,
IndustryOR_89,IndustryOR,N/A,
IndustryOR_90,IndustryOR,N/A,
IndustryOR_91,IndustryOR,N/A,
IndustryOR_Easy_092_bus_rental,IndustryOR,Easy,simple surface structure
IndustryOR_93,IndustryOR,N/A,
IndustryOR_94,IndustryOR,N/A,
IndustryOR_95,IndustryOR,N/A,
IndustryOR_96,IndustryOR,N/A,
IndustryOR_97,IndustryOR,N/A,
IndustryOR_98,IndustryOR,N/A,
IndustryOR_99,IndustryOR,N/A,
IndustryOR_100,IndustryOR,N/A,
NL4OPT_000_oil_spill_transport,NL4OPT,N/A,low coupling LP
NL4OPT_001,NL4OPT,N/A,
NL4OPT_002,NL4OPT,N/A,
NL4OPT_003,NL4OPT,N/A,
NL4OPT_004,NL4OPT,N/A,
NL4OPT_005,NL4OPT,N/A,
NL4OPT_006,NL4OPT,N/A,
NL4OPT_007,NL4OPT,N/A,
NL4OPT_008,NL4OPT,N/A,
NL4OPT_009,NL4OPT,N/A,
NL4OPT_010,NL4OPT,N/A,
NL4OPT_011,NL4OPT,N/A,
NL4OPT_012,NL4OPT,N/A,
NL4OPT_013_radiation_beams,NL4OPT,N/A,higher coupling LP
NL4OPT_014,NL4OPT,N/A,
NL4OPT_015,NL4OPT,N/A,
NL4OPT_016,NL4OPT,N/A,
NL4OPT_017,NL4OPT,N/A,
NL4OPT_018,NL4OPT,N/A,
NL4OPT_019,NL4OPT,N/A,
NL4OPT_020,NL4OPT,N/A,
NL4OPT_021,NL4OPT,N/A,
NL4OPT_022,NL4OPT,N/A,
NL4OPT_023,NL4OPT,N/A,
NL4OPT_024,NL4OPT,N/A,
NL4OPT_025,NL4OPT,N/A,
NL4OPT_026,NL4OPT,N/A,
NL4OPT_027,NL4OPT,N/A,
NL4OPT_028,NL4OPT,N/A,
NL4OPT_029,NL4OPT,N/A,
NL4OPT_030,NL4OPT,N/A,
NL4OPT_031,NL4OPT,N/A,
NL4OPT_032,NL4OPT,N/A,
NL4OPT_033,NL4OPT,N/A,
