instance_id,schema_version,dataset,scale.n_var_families,scale.n_constr_families,scale.m_all,scale.m_unary,scale.m_rel,scale.total_incidence,scale.total_incidence_all,scale.mean_arity,scale.mean_arity_all,local.incidence_density,local.intersection_density,local.mean_positive_overlap,local.conditional_jaccard,local.all_pair_jaccard,entity.spectral_coupling_index,entity.spectral_radius_raw,entity.treewidth.status,entity.treewidth.lower_bound,entity.treewidth.upper_bound,entity.treewidth.value,entity.treewidth_norm,entity.hubness,entity.cycle_rank,entity.cycle_density,entity.largest_component_ratio,entity.primal_edge_count,entity.max_degree,obligation.spectral_coupling_index,obligation.weighted_spectral_radius_raw,obligation.treewidth.status,obligation.treewidth.lower_bound,obligation.treewidth.upper_bound,obligation.treewidth.value,obligation.hubness,obligation.cycle_rank,obligation.cycle_density,obligation.largest_component_ratio,burden.m_all,burden.m_unary,burden.m_rel,burden.n_exception,burden.l_decision,burden.n_conditional,controls.scale_vars,controls.scale_constr,controls.schema_version,instance_metrics.n_families_indexed,instance_metrics.domain_total,instance_metrics.n_vertices,instance_metrics.n_edges,instance_metrics.edges_top_level,instance_metrics.edges_explicit,instance_metrics.edges_synthesized,instance_metrics.incidence,instance_metrics.mean_arity,instance_metrics.max_arity,instance_metrics.incidence_density,instance_metrics.coupling_edges,instance_metrics.unary_instance_edges,instance_metrics.intra_family_edges,instance_metrics.cross_family_edges,instance_metrics.family_involved,instance_metrics.vertices_per_family,instance_metrics.coupling_ratio,instance_metrics.intersection_density,instance_metrics.mean_positive_overlap,instance_metrics.mean_instance_jaccard,instance_metrics.spectral_coupling_index,instance_metrics.spectral_radius_raw,instance_metrics.largest_component_ratio,instance_metrics.cycle_rank,instance_metrics.cycle_density,instance_metrics.hubness,instance_metrics.max_degree,instance_metrics.primal_edges,n_obligations_total,n_obligations_coupling
IndustryOR_22,SOH-1.2,IndustryOR,2,2,4,2,2,4,6,2.0,1.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,exact,1,1,1,1.0,0.0,0,0.0,1.0,1,1,1.0,1.0,exact,1,1,1,0.0,0,0.0,1.0,4,2,2,0,0,0,2,2,SOH-1.2,2,6,6,10,0,10,0,18,1.8,3,0.3,7,3,4,6,2,3.0,0.6,0.4,1.1666666666666667,0.18888888888888888,0.0647213595499958,0.323606797749979,1.0,1,0.1,0.3,3,6,4,2
IndustryOR_50,SOH-1.2,,3,1,2,1,1,3,4,3.0,2.0,1.0,0.0,,,0.0,0.9999999999999999,1.9999999999999998,exact,2,2,2,1.0,0.0,1,1.0,1.0,3,2,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,2,1,1,0,0,0,3,1,SOH-1.2,3,18,10,6,0,6,0,14,2.3333333333333335,4,0.23333333333333334,3,3,3,3,3,3.3333333333333335,0.5,0.4,1.0,0.09285714285714285,0.06939851140963917,0.6245866026867525,0.9,7,0.19444444444444445,0.4166666666666667,6,15,2,1
IndustryOR_Easy_077_machine_assignment,SOH-1.2,IndustryOR,2,1,6,5,1,2,7,2.0,1.1666666666666667,1.0,0.0,,,0.0,1.0,1.0,exact,1,1,1,1.0,0.0,0,0.0,1.0,1,1,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,6,5,1,0,0,0,2,1,SOH-1.2,2,33,21,12,0,12,0,34,2.8333333333333335,10,0.1349206349206349,9,3,9,3,2,10.5,0.25,0.25757575757575757,1.1176470588235294,0.053145087235996334,0.03866194075720118,0.7732388151440237,0.9047619047619048,43,0.22631578947368422,0.3973684210526316,13,61,6,1
IndustryOR_Easy_092_bus_rental,SOH-1.2,IndustryOR,0,0,3,3,0,0,3,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,3,3,0,0,0,0,0,0,SOH-1.2,1,2,2,2,2,2,0,4,2.0,2,1.0,2,0,2,0,1,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0,0.0,0.0,1,1,3,0
IndustryOR_Hard_026_shift_scheduling,SOH-1.2,,0,0,1,1,0,0,1,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,1,1,0,0,0,0,0,0,SOH-1.2,1,6,6,6,0,6,0,12,2.0,2,0.3333333333333333,6,0,6,0,1,6.0,0.0,0.4,1.0,0.13333333333333333,0.06666666666666665,0.33333333333333326,1.0,1,0.1,0.0,2,6,1,0
IndustryOR_Hard_036_vrp,SOH-1.2,IndustryOR,5,6,12,6,6,13,19,2.1666666666666665,1.5833333333333333,0.43333333333333335,0.7333333333333333,1.1818181818181819,0.41666666666666663,0.3055555555555555,0.14422096965132042,0.5768838786052817,exact,2,2,2,0.5,0.6666666666666666,2,0.3333333333333333,1.0,6,4,0.30733844181517583,1.5366922090758792,exact,3,3,3,0.4,6,0.6,1.0,12,6,6,0,0,0,5,6,SOH-1.2,5,2315,22,14,0,14,0,34,2.4285714285714284,5,0.11038961038961038,11,3,6,8,5,4.4,0.5714285714285714,0.23076923076923078,1.0476190476190477,0.06520146520146519,0.015154851097532158,0.3182518730481753,0.6363636363636364,15,0.07142857142857142,0.20476190476190476,7,34,12,6
LEAN_Mixture6_truck_scheduling,SOH-1.2,,3,4,7,3,4,8,11,2.0,1.5714285714285714,0.6666666666666666,1.0,1.3333333333333333,0.5555555555555555,0.5555555555555555,0.3535533905932738,0.7071067811865476,exact,1,1,1,0.5,1.0,0,0.0,1.0,2,2,0.5555555555555554,1.666666666666666,exact,3,3,3,0.0,3,1.0,1.0,7,3,4,0,0,0,3,4,SOH-1.2,3,120,29,18,0,18,0,45,2.5,10,0.08620689655172414,14,4,9,9,3,9.666666666666666,0.5,0.1503267973856209,1.2608695652173914,0.052059813824519706,0.017909717812544416,0.5014720987512437,0.6206896551724138,41,0.10846560846560846,0.2552910052910053,11,63,7,4
LEAN_TP8_transportation,SOH-1.2,custom,0,0,2,2,0,0,2,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,2,2,0,0,0,0,0,0,SOH-1.2,1,30,24,6,0,6,0,33,5.5,6,0.22916666666666666,6,0,6,0,1,24.0,0.0,0.6,1.0,0.05999999999999999,0.049783521908114026,1.1450210038866226,1.0,52,0.20553359683794467,0.13043478260869565,9,75,2,0
MIPLIB_NL_flugpl_fleet,SOH-1.2,MIPLIB-NL flugpl,4,1,6,5,1,4,9,4.0,1.5,1.0,0.0,,,0.0,1.0,3.0,exact,3,3,3,1.0,0.0,3,1.0,1.0,6,3,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,6,5,1,0,0,0,4,1,SOH-1.2,4,24,13,6,0,6,0,17,2.8333333333333335,4,0.21794871794871795,5,1,3,3,4,3.25,0.5,0.3333333333333333,1.0,0.09000000000000001,0.0458718838573888,0.5504626062886656,0.6153846153846154,9,0.13636363636363635,0.09090909090909091,4,20,6,1
MIPLIB_NL_graph20_20_cuts,SOH-1.2,MIPLIB-NL graph20-20-1rand,3,4,6,2,4,9,11,2.25,1.8333333333333333,0.75,1.0,1.6666666666666667,0.611111111111111,0.611111111111111,0.5141363230406191,1.0282726460812381,exact,2,2,2,1.0,0.0,1,1.0,1.0,3,2,0.6242763368970715,1.8728290106912144,exact,3,3,3,0.0,3,1.0,1.0,6,2,4,0,0,0,3,4,SOH-1.2,0,0,7,6,0,6,0,14,2.3333333333333335,4,0.3333333333333333,6,0,2,4,3,2.3333333333333335,0.6666666666666666,0.4666666666666667,1.4285714285714286,0.21333333333333332,0.11621471503790747,0.6972882902274448,0.7142857142857143,3,0.2,0.4,4,8,6,4
NL4OPT_000_oil_spill_transport,SOH-1.2,NL4OPT,0,0,3,3,0,0,3,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,exact,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0.0,exact,0,0,0,0.0,0,0.0,0.0,3,3,0,0,0,0,0,0,SOH-1.2,1,2,2,3,3,3,0,5,1.6666666666666667,2,0.8333333333333334,2,1,3,0,1,2.0,0.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0,0.0,0.0,1,1,3,0
NL4OPT_013_radiation_beams,SOH-1.2,NL4OPT,2,1,3,2,1,2,4,2.0,1.3333333333333333,1.0,0.0,,,0.0,1.0,1.0,exact,1,1,1,1.0,0.0,0,0.0,1.0,1,1,0.0,0.0,exact,0,0,0,0.0,0,0.0,1.0,3,2,1,0,0,0,2,1,SOH-1.2,2,5,5,5,5,5,0,11,2.2,3,0.44,3,2,2,3,2,2.5,0.6,0.5,1.6,0.21666666666666665,0.21861406616345075,0.874456264653803,1.0,3,0.5,0.5,4,7,3,1
